source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,comm_samp,noteworthy_env_cond,replicate,size_frac_low,size_frac_up,depth,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,samp_size_mass,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMOBON-210825-330-SoSOP3-Micro-R1,EMOBON metagenome sediment sample from station BPNS collected on 2021-08-25 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002007,2021-08-25,BPNS_So_210825,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,micro,,1,,,20.54,Van Veen Grab,SoSOP3,Tube broke,,,,,,,,,,,,,,,,true,tube broke,,EMOBON_BPNS_So_11
EMOBON-210825-330-SoSOP3-Micro-R2,EMOBON metagenome sediment sample from station BPNS collected on 2021-08-25 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002007,2021-08-25,BPNS_So_210825,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,micro,,2,,,20.54,Van Veen Grab,SoSOP3,,2021-08-25,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,,2021-10-05,2021-10-08,-70,2021-11-24,2021-11-24,batch_1,true,low yields; seq library prep failed,,EMOBON_BPNS_So_12
EMOBON-210825-330-SoSOP3-Micro-R3,EMOBON metagenome sediment sample from station BPNS collected on 2021-08-25 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002007,2021-08-25,BPNS_So_210825,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,micro,,3,,,20.54,Van Veen Grab,SoSOP3,,2021-08-25,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,,2021-10-05,2021-10-08,-70,2021-11-24,2021-11-24,batch_1,false,,https://identifiers.org/ena.embl:ERS15538559,EMOBON_BPNS_So_13
EMOBON-210825-330-SoSOP3-Micro-R4,EMOBON metagenome sediment sample from station BPNS collected on 2021-08-25 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002007,2021-08-25,BPNS_So_210825,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,micro,,4,,,20.54,Van Veen Grab,SoSOP3,,2021-08-25,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,,,,,,,,,,,EMOBON_BPNS_So_14
EMOBON-210825-330-SoSOP3-Micro-B1,EMOBON metagenome sediment sample from station BPNS collected on 2021-08-25 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002007,2021-08-25,BPNS_So_210825,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,,micro,,blank_1,,,20.54,,SoSOP3,,2021-08-25,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,,,,,,,,,,,EMOBON_BPNS_So_15
EMOBON-210825-330-SoSOP3-Micro-B2,EMOBON metagenome sediment sample from station BPNS collected on 2021-08-25 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002007,2021-08-25,BPNS_So_210825,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,,micro,,blank_2,,,20.54,,SoSOP3,,2021-08-25,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,,,,,,,,,,,EMOBON_BPNS_So_16
EMOBON-211028-BPNS-So3-Micro-R1,EMOBON metagenome sediment sample from station BPNS collected on 2021-10-28 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002007,2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,micro,,1,,,18.66,Van Veen Grab,SoSOP3,,2021-10-28,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,,2022-01-10,2022-01-18,-70,2022-02-22,2022-02-23,batch_2,false,,https://identifiers.org/ena.embl:ERS20535373,EMOBON_BPNS_So_17
EMOBON-211028-BPNS-So3-Micro-R2,EMOBON metagenome sediment sample from station BPNS collected on 2021-10-28 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002007,2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,micro,,2,,,18.66,Van Veen Grab,SoSOP3,,2021-10-28,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,,2022-01-10,2022-01-18,-70,2022-02-22,2022-02-23,batch_2,false,,https://identifiers.org/ena.embl:ERS20535374,EMOBON_BPNS_So_18
EMOBON-211028-BPNS-So3-Micro-R3,EMOBON metagenome sediment sample from station BPNS collected on 2021-10-28 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002007,2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,micro,,3,,,18.66,Van Veen Grab,SoSOP3,,2021-10-28,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,,,,,,,,,,,EMOBON_BPNS_So_19
EMOBON-211028-BPNS-So3-Micro-R4,EMOBON metagenome sediment sample from station BPNS collected on 2021-10-28 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002007,2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,micro,,4,,,18.66,Van Veen Grab,SoSOP3,,2021-10-28,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,,,,,,,,,,,EMOBON_BPNS_So_20
EMOBON-211028-BPNS-So3-Micro-B1,EMOBON metagenome sediment sample from station BPNS collected on 2021-10-28 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002007,2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,,micro,,blank_1,,,18.66,,SoSOP3,,2021-10-28,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,,,,,,,,,,,EMOBON_BPNS_So_21
EMOBON-211028-BPNS-So3-Micro-B2,EMOBON metagenome sediment sample from station BPNS collected on 2021-10-28 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002007,2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,,micro,,blank_2,,,18.66,,SoSOP3,,2021-10-28,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,,,,,,,,,,,EMOBON_BPNS_So_22
EMOBON-211028-BPNS-So3-Macro-R1,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected macro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,http://purl.obolibrary.org/obo/ENVO_00002007,2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,macro,,1,,,19.42,Van Veen Grab,SoSOP3,,2021-10-28,MSO LifeWatch Lab -20 Freezer 3,-20,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,,2022-01-10,2022-01-18,4,2023-10-17,2023-10-17,batch_3.2,,,,EMOBON_BPNS_So_23
EMOBON-211028-BPNS-So3-Macro-R2,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected macro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,http://purl.obolibrary.org/obo/ENVO_00002007,2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,macro,,2,,,19.42,Van Veen Grab,SoSOP3,,2021-10-28,MSO LifeWatch Lab -20 Freezer 3,-20,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,,2022-01-10,2022-01-18,4,2023-10-17,2023-10-17,batch_3.2,,,,EMOBON_BPNS_So_24
EMOBON-211028-BPNS-So3-Macro-R3,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected macro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,http://purl.obolibrary.org/obo/ENVO_00002007,2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,macro,,3,,,19.42,Van Veen Grab,SoSOP3,,2021-10-28,MSO LifeWatch Lab -20 Freezer 3,-20,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,,,,,,,,,,,EMOBON_BPNS_So_25
EMOBON-211028-BPNS-So3-Macro-R4,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected macro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,http://purl.obolibrary.org/obo/ENVO_00002007,2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,ebb_tide,macro,,4,,,19.42,Van Veen Grab,SoSOP3,,2021-10-28,MSO LifeWatch Lab -20 Freezer 3,-20,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,,,,,,,,,,,EMOBON_BPNS_So_26
EMOBON-211028-BPNS-So3-Macro-B,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected macro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,mimarks-specimen,http://purl.obolibrary.org/obo/ENVO_00002007,2021-10-28,BPNS_So_211028,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,,macro,,blank_1,,,19.42,,SoSOP3,,2021-10-28,MSO LifeWatch Lab -20 Freezer 3,-20,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,,,,,,,,,,,EMOBON_BPNS_So_27
EMOBON-211028-BPNS-SoSOP3-Meio-R1,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected meio,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,http://purl.obolibrary.org/obo/ENVO_00002007,2021-10-28,BPNS_So_211028,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,ebb_tide,meio,,1,32,,19.42,Van Veen Grab,SoSOP3,,2021-10-28,"UGent MarBiol Freezer #4, Box#61",-20,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,Annelien Rigaux,,false,170,2021-12-01,2021-12-03,-20,2022-07-18,2023-07-18,batch_3,,,,EMOBON_BPNS_So_28
EMOBON-211028-BPNS-SoSOP3-Meio-R2,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected meio,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,http://purl.obolibrary.org/obo/ENVO_00002007,2021-10-28,BPNS_So_211028,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,ebb_tide,meio,,2,32,,19.42,Van Veen Grab,SoSOP3,,2021-10-28,"UGent MarBiol Freezer #4, Box#61",-20,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,Annelien Rigaux,,false,272,2021-12-01,2021-12-03,-20,2022-07-18,2023-07-18,batch_3,,,,EMOBON_BPNS_So_29
EMOBON-211028-BPNS-SoSOP3-Meio-R3,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected meio,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,http://purl.obolibrary.org/obo/ENVO_00002007,2021-10-28,BPNS_So_211028,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,ebb_tide,meio,,3,32,,19.42,Van Veen Grab,SoSOP3,,2021-10-28,"UGent MarBiol Freezer #4, Box#61",-20,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,Annelien Rigaux,,true,334,,,,,,,,,,EMOBON_BPNS_So_30
EMOBON-211028-BPNS-SoSOP3-Meio-R4,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected meio,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=33208,Metazoa,mimarks-specimen,http://purl.obolibrary.org/obo/ENVO_00002007,2021-10-28,BPNS_So_211028,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,ebb_tide,meio,,4,32,,19.42,Van Veen Grab,SoSOP3,,2021-10-28,"UGent MarBiol Freezer #4, Box#61",-20,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,Annelien Rigaux,,true,228,,,,,,,,,,EMOBON_BPNS_So_31
EMOBON-211028-BPNS-SoSOP3-Meio-B,EMOBON mimarks-specimen sediment sample from station BPNS collected on 2021-10-28 community collected meio,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,mimarks-specimen,http://purl.obolibrary.org/obo/ENVO_00002007,2021-10-28,BPNS_So_211028,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,,meio,,blank_1,,,19.42,Van Veen Grab,SoSOP3,,2021-10-28,"UGent MarBiol Freezer #4, Box#61",-20,Lara Macheriotou,https://orcid.org/0000-0002-5662-5689,Annelien Rigaux,,false,,2021-12-01,2021-12-03,-20,2022-07-18,2023-07-18,batch_3,,,,EMOBON_BPNS_So_32
EMOBON-211223-BPNS-So3-Micro-R1,EMOBON metagenome sediment sample from station BPNS collected on 2021-12-23 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002007,2021-12-23,BPNS_So_211223,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,ebb_tide,micro,,1,,,21.2,Van Veen Grab,SoSOP3,Problem with underway data,2021-12-23,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,,2022-01-10,2022-01-18,-70,2022-02-22,2022-02-23,batch_2,false,,https://identifiers.org/ena.embl:ERS20535375,EMOBON_BPNS_So_33
EMOBON-211223-BPNS-So3-Micro-R2,EMOBON metagenome sediment sample from station BPNS collected on 2021-12-23 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002007,2021-12-23,BPNS_So_211223,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,ebb_tide,micro,,2,,,21.2,Van Veen Grab,SoSOP3,Problem with underway data,2021-12-23,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,,2022-01-10,2022-01-18,-70,2022-02-22,2022-02-23,batch_2,false,,https://identifiers.org/ena.embl:ERS20535376,EMOBON_BPNS_So_34
EMOBON-211223-BPNS-So3-Micro-R3,EMOBON metagenome sediment sample from station BPNS collected on 2021-12-23 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002007,2021-12-23,BPNS_So_211223,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,ebb_tide,micro,,3,,,21.2,Van Veen Grab,SoSOP3,Problem with underway data,2021-12-23,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,,,,,,,,,,,EMOBON_BPNS_So_35
EMOBON-211223-BPNS-So3-Micro-R4,EMOBON metagenome sediment sample from station BPNS collected on 2021-12-23 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=412755,marine sediment metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002007,2021-12-23,BPNS_So_211223,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,ebb_tide,micro,,4,,,21.2,Van Veen Grab,SoSOP3,Problem with underway data,2021-12-23,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,true,,,,,,,,,,,EMOBON_BPNS_So_36
EMOBON-211223-BPNS-So3-Micro-B1,EMOBON metagenome sediment sample from station BPNS collected on 2021-12-23 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002007,2021-12-23,BPNS_So_211223,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,,micro,,blank_1,,,21.2,,SoSOP3,Problem with underway data,2021-12-23,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,,,,,,,,,,,EMOBON_BPNS_So_37
EMOBON-211223-BPNS-So3-Micro-B2,EMOBON metagenome sediment sample from station BPNS collected on 2021-12-23 community collected micro,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,metagenome,http://purl.obolibrary.org/obo/ENVO_00002007,2021-12-23,BPNS_So_211223,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,,micro,,blank_2,,,21.2,,SoSOP3,Problem with underway data,2021-12-23,MSO LifeWatch Lab -80 Freezer,-80,Sander Delacauw,https://orcid.org/0000-0002-5400-2891,Rune Lagaisse,https://orcid.org/0000-0001-9191-9140,false,,,,,,,,,,,EMOBON_BPNS_So_38
