Diagnosis,LogsheetType,LogsheetTab,Column,Row,Value,ExtendedDiagnosis,FilePath,DataType,Requirement
source_mat_id error,sediment,sampling,source_mat_id,16,EMOBON_BPNS_So_16,source_mat_id should match ^EMOBON_BPNS_So_210825_micro_blank_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,17,EMOBON_BPNS_So_17,source_mat_id should match ^EMOBON_BPNS_So_211028_micro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,18,EMOBON_BPNS_So_18,source_mat_id should match ^EMOBON_BPNS_So_211028_micro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,19,EMOBON_BPNS_So_19,source_mat_id should match ^EMOBON_BPNS_So_211028_micro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,20,EMOBON_BPNS_So_20,source_mat_id should match ^EMOBON_BPNS_So_211028_micro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,21,EMOBON_BPNS_So_21,source_mat_id should match ^EMOBON_BPNS_So_211028_micro_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,22,EMOBON_BPNS_So_22,source_mat_id should match ^EMOBON_BPNS_So_211028_micro_blank_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,23,EMOBON_BPNS_So_23,source_mat_id should match ^EMOBON_BPNS_So_211028_macro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,24,EMOBON_BPNS_So_24,source_mat_id should match ^EMOBON_BPNS_So_211028_macro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,25,EMOBON_BPNS_So_25,source_mat_id should match ^EMOBON_BPNS_So_211028_macro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,26,EMOBON_BPNS_So_26,source_mat_id should match ^EMOBON_BPNS_So_211028_macro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,27,EMOBON_BPNS_So_27,source_mat_id should match ^EMOBON_BPNS_So_211028_macro_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,28,EMOBON_BPNS_So_28,source_mat_id should match ^EMOBON_BPNS_So_211028_meio_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,29,EMOBON_BPNS_So_29,source_mat_id should match ^EMOBON_BPNS_So_211028_meio_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,30,EMOBON_BPNS_So_30,source_mat_id should match ^EMOBON_BPNS_So_211028_meio_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,31,EMOBON_BPNS_So_31,source_mat_id should match ^EMOBON_BPNS_So_211028_meio_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,32,EMOBON_BPNS_So_32,source_mat_id should match ^EMOBON_BPNS_So_211028_meio_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,33,EMOBON_BPNS_So_33,source_mat_id should match ^EMOBON_BPNS_So_211223_micro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,34,EMOBON_BPNS_So_34,source_mat_id should match ^EMOBON_BPNS_So_211223_micro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,35,EMOBON_BPNS_So_35,source_mat_id should match ^EMOBON_BPNS_So_211223_micro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,36,EMOBON_BPNS_So_36,source_mat_id should match ^EMOBON_BPNS_So_211223_micro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,37,EMOBON_BPNS_So_37,source_mat_id should match ^EMOBON_BPNS_So_211223_micro_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,38,EMOBON_BPNS_So_38,source_mat_id should match ^EMOBON_BPNS_So_211223_micro_blank_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,39,EMOBON_BPNS_So_39,source_mat_id should match ^EMOBON_BPNS_So_220322_micro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,40,EMOBON_BPNS_So_40,source_mat_id should match ^EMOBON_BPNS_So_220322_micro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,41,EMOBON_BPNS_So_41,source_mat_id should match ^EMOBON_BPNS_So_220322_micro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,42,EMOBON_BPNS_So_42,source_mat_id should match ^EMOBON_BPNS_So_220322_micro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,43,EMOBON_BPNS_So_43,source_mat_id should match ^EMOBON_BPNS_So_220322_micro_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,44,EMOBON_BPNS_So_44,source_mat_id should match ^EMOBON_BPNS_So_220322_micro_blank_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,45,EMOBON_BPNS_So_45,source_mat_id should match ^EMOBON_BPNS_So_220420_micro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,46,EMOBON_BPNS_So_46,source_mat_id should match ^EMOBON_BPNS_So_220420_micro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,47,EMOBON_BPNS_So_47,source_mat_id should match ^EMOBON_BPNS_So_220420_micro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,48,EMOBON_BPNS_So_48,source_mat_id should match ^EMOBON_BPNS_So_220420_micro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,49,EMOBON_BPNS_So_49,source_mat_id should match ^EMOBON_BPNS_So_220420_micro_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,50,EMOBON_BPNS_So_50,source_mat_id should match ^EMOBON_BPNS_So_220420_micro_blank_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,51,EMOBON_BPNS_So_51,source_mat_id should match ^EMOBON_BPNS_So_220420_macro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,52,EMOBON_BPNS_So_52,source_mat_id should match ^EMOBON_BPNS_So_220420_macro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,53,EMOBON_BPNS_So_53,source_mat_id should match ^EMOBON_BPNS_So_220420_macro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,54,EMOBON_BPNS_So_54,source_mat_id should match ^EMOBON_BPNS_So_220420_macro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,55,EMOBON_BPNS_So_55,source_mat_id should match ^EMOBON_BPNS_So_220420_macro_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,56,EMOBON_BPNS_So_56,source_mat_id should match ^EMOBON_BPNS_So_220420_meio_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,57,EMOBON_BPNS_So_57,source_mat_id should match ^EMOBON_BPNS_So_220420_meio_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,58,EMOBON_BPNS_So_58,source_mat_id should match ^EMOBON_BPNS_So_220420_meio_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,59,EMOBON_BPNS_So_59,source_mat_id should match ^EMOBON_BPNS_So_220420_meio_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,60,EMOBON_BPNS_So_60,source_mat_id should match ^EMOBON_BPNS_So_220420_meio_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,61,EMOBON_BPNS_So_61,source_mat_id should match ^EMOBON_BPNS_So_220601_micro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,62,EMOBON_BPNS_So_62,source_mat_id should match ^EMOBON_BPNS_So_220601_micro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,63,EMOBON_BPNS_So_63,source_mat_id should match ^EMOBON_BPNS_So_220601_micro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,64,EMOBON_BPNS_So_64,source_mat_id should match ^EMOBON_BPNS_So_220601_micro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,65,EMOBON_BPNS_So_65,source_mat_id should match ^EMOBON_BPNS_So_220601_micro_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,66,EMOBON_BPNS_So_66,source_mat_id should match ^EMOBON_BPNS_So_220601_micro_blank_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,67,EMOBON_BPNS_So_67,source_mat_id should match ^EMOBON_BPNS_So_220601_meio_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,68,EMOBON_BPNS_So_68,source_mat_id should match ^EMOBON_BPNS_So_220601_meio_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,69,EMOBON_BPNS_So_69,source_mat_id should match ^EMOBON_BPNS_So_220601_meio_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,70,EMOBON_BPNS_So_70,source_mat_id should match ^EMOBON_BPNS_So_220601_meio_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,71,EMOBON_BPNS_So_71,source_mat_id should match ^EMOBON_BPNS_So_220601_meio_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,72,EMOBON_BPNS_So_72,source_mat_id should match ^EMOBON_BPNS_So_220819_micro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,73,EMOBON_BPNS_So_73,source_mat_id should match ^EMOBON_BPNS_So_220819_micro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,74,EMOBON_BPNS_So_74,source_mat_id should match ^EMOBON_BPNS_So_220819_micro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,75,EMOBON_BPNS_So_75,source_mat_id should match ^EMOBON_BPNS_So_220819_micro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,76,EMOBON_BPNS_So_76,source_mat_id should match ^EMOBON_BPNS_So_220819_micro_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,77,EMOBON_BPNS_So_77,source_mat_id should match ^EMOBON_BPNS_So_220819_micro_blank_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,78,EMOBON_BPNS_So_78,source_mat_id should match ^EMOBON_BPNS_So_221027_micro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,79,EMOBON_BPNS_So_79,source_mat_id should match ^EMOBON_BPNS_So_221027_micro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,80,EMOBON_BPNS_So_80,source_mat_id should match ^EMOBON_BPNS_So_221027_micro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,81,EMOBON_BPNS_So_81,source_mat_id should match ^EMOBON_BPNS_So_221027_micro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,82,EMOBON_BPNS_So_82,source_mat_id should match ^EMOBON_BPNS_So_221027_micro_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,83,EMOBON_BPNS_So_83,source_mat_id should match ^EMOBON_BPNS_So_221027_micro_blank_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,84,EMOBON_BPNS_So_84,source_mat_id should match ^EMOBON_BPNS_So_221027_macro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,85,EMOBON_BPNS_So_85,source_mat_id should match ^EMOBON_BPNS_So_221027_macro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,86,EMOBON_BPNS_So_86,source_mat_id should match ^EMOBON_BPNS_So_221027_macro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,87,EMOBON_BPNS_So_87,source_mat_id should match ^EMOBON_BPNS_So_221027_macro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,88,EMOBON_BPNS_So_88,source_mat_id should match ^EMOBON_BPNS_So_221027_macro_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,89,EMOBON_BPNS_So_89,source_mat_id should match ^EMOBON_BPNS_So_221027_meio_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,90,EMOBON_BPNS_So_90,source_mat_id should match ^EMOBON_BPNS_So_221027_meio_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,91,EMOBON_BPNS_So_91,source_mat_id should match ^EMOBON_BPNS_So_221027_meio_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,92,EMOBON_BPNS_So_92,source_mat_id should match ^EMOBON_BPNS_So_221027_meio_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,93,EMOBON_BPNS_So_93,source_mat_id should match ^EMOBON_BPNS_So_221027_meio_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,94,EMOBON_BPNS_So_94,source_mat_id should match ^EMOBON_BPNS_So_221212_micro_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,95,EMOBON_BPNS_So_95,source_mat_id should match ^EMOBON_BPNS_So_221212_micro_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,96,EMOBON_BPNS_So_96,source_mat_id should match ^EMOBON_BPNS_So_221212_micro_3$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,97,EMOBON_BPNS_So_97,source_mat_id should match ^EMOBON_BPNS_So_221212_micro_4$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,98,EMOBON_BPNS_So_98,source_mat_id should match ^EMOBON_BPNS_So_221212_micro_blank_1$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,sediment,sampling,source_mat_id,99,EMOBON_BPNS_So_99,source_mat_id should match ^EMOBON_BPNS_So_221212_micro_blank_2$,/github/workspace/logsheets/filtered/sediment_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,1,EMOBON_BPNS_Wa_1,source_mat_id should match ^EMOBON_BPNS_Wa_210701_200um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,2,EMOBON_BPNS_Wa_2,source_mat_id should match ^EMOBON_BPNS_Wa_210701_200um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,3,EMOBON_BPNS_Wa_3,source_mat_id should match ^EMOBON_BPNS_Wa_210701_200um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,4,EMOBON_BPNS_Wa_4,source_mat_id should match ^EMOBON_BPNS_Wa_210701_200um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,5,EMOBON_BPNS_Wa_5,source_mat_id should match ^EMOBON_BPNS_Wa_210701_200um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,6,EMOBON_BPNS_Wa_6,source_mat_id should match ^EMOBON_BPNS_Wa_210701_3um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,7,EMOBON_BPNS_Wa_7,source_mat_id should match ^EMOBON_BPNS_Wa_210701_3um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,8,EMOBON_BPNS_Wa_8,source_mat_id should match ^EMOBON_BPNS_Wa_210701_3um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,9,EMOBON_BPNS_Wa_9,source_mat_id should match ^EMOBON_BPNS_Wa_210701_3um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,10,EMOBON_BPNS_Wa_10,source_mat_id should match ^EMOBON_BPNS_Wa_210701_3um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,11,EMOBON_BPNS_Wa_11,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,12,EMOBON_BPNS_Wa_12,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,13,EMOBON_BPNS_Wa_13,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,14,EMOBON_BPNS_Wa_14,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,15,EMOBON_BPNS_Wa_15,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,16,EMOBON_BPNS_Wa_16,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,17,EMOBON_BPNS_Wa_17,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,18,EMOBON_BPNS_Wa_18,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,19,EMOBON_BPNS_Wa_19,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,20,EMOBON_BPNS_Wa_20,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,21,EMOBON_BPNS_Wa_21,source_mat_id should match ^EMOBON_BPNS_Wa_210825_200um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,22,EMOBON_BPNS_Wa_22,source_mat_id should match ^EMOBON_BPNS_Wa_210825_200um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,23,EMOBON_BPNS_Wa_23,source_mat_id should match ^EMOBON_BPNS_Wa_210825_200um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,24,EMOBON_BPNS_Wa_24,source_mat_id should match ^EMOBON_BPNS_Wa_210825_200um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,25,EMOBON_BPNS_Wa_25,source_mat_id should match ^EMOBON_BPNS_Wa_210825_200um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,26,EMOBON_BPNS_Wa_26,source_mat_id should match ^EMOBON_BPNS_Wa_210825_3um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,27,EMOBON_BPNS_Wa_27,source_mat_id should match ^EMOBON_BPNS_Wa_210825_3um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
