diagnosis,table,column,row,value,repair,extended_diagnosis,file_path,data_type,nullable
source_mat_id error,ws,source_mat_id,1,EMOBON_BPNS_Wa_1,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_200um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,2,EMOBON_BPNS_Wa_2,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_200um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,3,EMOBON_BPNS_Wa_3,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_200um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,4,EMOBON_BPNS_Wa_4,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_200um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,5,EMOBON_BPNS_Wa_5,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_200um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,6,EMOBON_BPNS_Wa_6,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_3um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,7,EMOBON_BPNS_Wa_7,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_3um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,8,EMOBON_BPNS_Wa_8,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_3um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,9,EMOBON_BPNS_Wa_9,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_3um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,10,EMOBON_BPNS_Wa_10,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_3um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,11,EMOBON_BPNS_Wa_11,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,12,EMOBON_BPNS_Wa_12,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,13,EMOBON_BPNS_Wa_13,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,14,EMOBON_BPNS_Wa_14,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,15,EMOBON_BPNS_Wa_15,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,16,EMOBON_BPNS_Wa_16,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,17,EMOBON_BPNS_Wa_17,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,18,EMOBON_BPNS_Wa_18,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,19,EMOBON_BPNS_Wa_19,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,20,EMOBON_BPNS_Wa_20,,source_mat_id should match ^EMOBON_BPNS_Wa_210701_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,21,EMOBON_BPNS_Wa_21,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_200um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,22,EMOBON_BPNS_Wa_22,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_200um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,23,EMOBON_BPNS_Wa_23,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_200um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,24,EMOBON_BPNS_Wa_24,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_200um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,25,EMOBON_BPNS_Wa_25,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_200um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,26,EMOBON_BPNS_Wa_26,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_3um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,27,EMOBON_BPNS_Wa_27,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_3um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,28,EMOBON_BPNS_Wa_28,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_3um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,29,EMOBON_BPNS_Wa_29,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_3um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,30,EMOBON_BPNS_Wa_30,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_3um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,31,EMOBON_BPNS_Wa_31,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,32,EMOBON_BPNS_Wa_32,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,33,EMOBON_BPNS_Wa_33,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,34,EMOBON_BPNS_Wa_34,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,35,EMOBON_BPNS_Wa_35,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,36,EMOBON_BPNS_Wa_36,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,37,EMOBON_BPNS_Wa_37,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,38,EMOBON_BPNS_Wa_38,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,39,EMOBON_BPNS_Wa_39,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,40,EMOBON_BPNS_Wa_40,,source_mat_id should match ^EMOBON_BPNS_Wa_210825_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,41,EMOBON_BPNS_Wa_41,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_200um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,42,EMOBON_BPNS_Wa_42,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_200um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,43,EMOBON_BPNS_Wa_43,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_200um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,44,EMOBON_BPNS_Wa_44,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_200um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,45,EMOBON_BPNS_Wa_45,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_200um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,46,EMOBON_BPNS_Wa_46,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_3um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,47,EMOBON_BPNS_Wa_47,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_3um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,48,EMOBON_BPNS_Wa_48,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_3um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,49,EMOBON_BPNS_Wa_49,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_3um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,50,EMOBON_BPNS_Wa_50,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_3um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,51,EMOBON_BPNS_Wa_51,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,52,EMOBON_BPNS_Wa_52,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,53,EMOBON_BPNS_Wa_53,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,54,EMOBON_BPNS_Wa_54,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,55,EMOBON_BPNS_Wa_55,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,56,EMOBON_BPNS_Wa_56,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,57,EMOBON_BPNS_Wa_57,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,58,EMOBON_BPNS_Wa_58,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,59,EMOBON_BPNS_Wa_59,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,60,EMOBON_BPNS_Wa_60,,source_mat_id should match ^EMOBON_BPNS_Wa_211028_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,61,EMOBON_BPNS_Wa_61,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_200um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,62,EMOBON_BPNS_Wa_62,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_200um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,63,EMOBON_BPNS_Wa_63,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_200um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,64,EMOBON_BPNS_Wa_64,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_200um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,65,EMOBON_BPNS_Wa_65,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_200um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,66,EMOBON_BPNS_Wa_66,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_3um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,67,EMOBON_BPNS_Wa_67,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_3um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,68,EMOBON_BPNS_Wa_68,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_3um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,69,EMOBON_BPNS_Wa_69,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_3um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,70,EMOBON_BPNS_Wa_70,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_3um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,71,EMOBON_BPNS_Wa_71,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,72,EMOBON_BPNS_Wa_72,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,73,EMOBON_BPNS_Wa_73,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,74,EMOBON_BPNS_Wa_74,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,75,EMOBON_BPNS_Wa_75,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,76,EMOBON_BPNS_Wa_76,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_NAum_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,77,EMOBON_BPNS_Wa_77,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_NAum_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,78,EMOBON_BPNS_Wa_78,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_NAum_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,79,EMOBON_BPNS_Wa_79,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_NAum_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
source_mat_id error,ws,source_mat_id,80,EMOBON_BPNS_Wa_80,,source_mat_id should match ^EMOBON_BPNS_Wa_211223_NAum_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
datatype mismatch,sm,ph,35,"5,96",5.96,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
datatype mismatch,sm,ph,36,"5,96",5.96,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
missing value,sm,ph,194,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
missing value,sm,ph,195,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
missing value,sm,ph,196,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
missing value,sm,ph,197,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
missing value,sm,ph,198,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
missing value,sm,ph_method,194,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDString,False
missing value,sm,ph_method,195,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDString,False
missing value,sm,ph_method,196,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDString,False
missing value,sm,ph_method,197,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDString,False
missing value,sm,ph_method,198,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDString,False
missing value,sm,redox_potential,1,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
missing value,sm,redox_potential,2,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
missing value,sm,redox_potential,3,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
missing value,sm,redox_potential,4,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
missing value,sm,redox_potential,5,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
missing value,sm,redox_potential,6,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
missing value,sm,redox_potential,7,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
missing value,sm,redox_potential,8,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
missing value,sm,redox_potential,9,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
missing value,sm,redox_potential,10,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
missing value,sm,redox_potential,11,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
missing value,sm,redox_potential,12,,,,/github/workspace/logsheets/filtered/sediment_measured.csv,XSDFloat,False
